,mean_state_salary,home_city_code,education,published_date,schedule_type,experience,salary,professional_skills,add_skills,busy_type,business_trip,retraining_capability,fullness_rate,n_jobs,additionalEducationList,english_level
124,50955,7000000100000,1.0,2022-08-29,1.0,0,40000,0,0,1.0,0,1,58,0,0,0.0
125,50955,7000900100000,0.7,2022-02-10,1.0,0,29999,0,0,0.9,0,1,62,0,0,0.9
126,49553,1000000100000,1.0,2022-08-06,1.0,1,30000,0,0,1.0,0,0,79,1,0,0.9
127,48837,4000200004700,1.0,2022-06-21,0.8,8,150000,0,0,0.9,0,1,66,2,0,0.7
128,48837,4000000100000,0.6,2022-07-19,0.8,0,40000,0,0,0.6,1,1,74,0,0,0.5
129,48837,4000000100000,1.0,2022-06-10,1.0,2,30000,0,0,1.0,1,1,73,1,0,0.5
130,48590,6600002300000,0.5,2022-11-16,1.0,0,20000,0,0,1.0,0,1,57,0,0,0.0
131,48590,6600002300000,0.5,2022-05-16,1.0,0,55000,0,0,1.0,0,0,48,0,0,0.0
132,48590,6600001200000,0.5,2022-04-18,1.0,0,10000,0,0,1.0,0,1,59,0,0,0.5
133,48590,6600000100000,0.6,2022-06-09,1.0,0,40000,0,0,1.0,0,1,66,0,0,0.7
134,48590,6600000400000,1.0,2022-06-28,1.0,1,40000,0,0,1.0,0,1,77,1,0,0.5
135,48590,6602300000100,0.6,2022-02-22,1.0,0,15000,0,0,1.0,1,1,72,0,0,0.3
136,48590,6600000100000,1.0,2022-08-17,1.0,4,50000,0,0,0.9,0,0,73,1,0,0.3
137,48590,6600000100000,1.0,2022-03-31,1.0,6,20000,0,0,1.0,0,1,66,7,0,0.5
138,48590,6600002200000,1.0,2022-10-27,1.0,13,80000,1,1,1.0,1,1,94,2,1,0.7
139,48590,6600002200000,0.6,2022-11-21,1.0,1,37000,0,0,0.9,1,1,81,1,0,0.3
140,48590,6600001100000,0.7,2022-02-09,0.8,15,50000,0,0,0.9,0,1,81,11,0,0.7
141,48590,6600000100000,1.0,2022-03-11,0.5,2,50000,0,0,0.6,0,0,66,1,0,0.0
142,48590,6600000100000,1.0,2022-12-08,1.0,1,30000,0,0,1.0,0,1,68,3,0,0.0
143,48590,6600000900000,0.5,2022-08-10,1.0,0,15000,0,0,1.0,0,0,55,0,0,0.0
144,48313,4200001300000,0.6,2022-02-21,1.0,0,20000,1,1,1.0,1,1,81,0,0,0.3
145,48313,4201400100000,0.6,2021-10-12,1.0,0,20000,0,0,1.0,0,1,75,0,0,0.0
146,48313,4200001400000,0.5,2022-04-18,1.0,0,250000,0,0,1.0,1,1,74,1,0,0.3
147,48313,4200001200000,1.0,2021-11-16,1.0,0,20000,0,0,1.0,0,0,64,0,0,0.0
148,48313,4200000900000,0.7,2022-04-11,1.0,3,40000,0,0,1.0,0,0,68,4,1,0.0
149,48313,4200000900000,1.0,2022-08-26,1.0,21,40000,0,0,1.0,0,1,82,4,0,0.0
150,48313,4201400100000,0.6,2021-10-12,1.0,0,20000,0,0,1.0,0,1,75,0,0,0.0
151,48313,4200001200000,0.6,2022-07-28,1.0,0,15279,0,0,1.0,0,1,66,0,0,0.5
152,48313,4200001000000,0.6,2022-11-21,1.0,0,35000,0,0,1.0,0,0,58,0,0,0.3
